subject,session,stim,answer,conf,correct,contrast,rt,points
1,1,2,2,0.576,1,2,1.087403567,1
1,1,1,1,0.713,1,2,0.764023114,2
1,1,2,1,0.78,0,1,0.791533549,1
1,1,1,1,0.644,1,2,1.035643309,2
1,1,1,1,0.707,1,3,0.652415594,3
1,1,2,2,0.73,1,1,0.564327742,4
1,1,1,1,0.838,1,1,0.689226997,5
1,1,1,1,0.616,1,1,0.60679996,6
1,1,1,1,0.7,1,2,0.81860501,7
1,1,2,1,0.684,0,1,0.602500134,8
1,1,2,2,0.782,1,3,0.687614213,9
1,1,1,1,0.619,1,3,0.732853463,10
1,1,2,1,0.608,0,2,0.562335517,9
1,1,2,1,0.629,0,2,0.614667051,8
1,1,2,1,0.607,0,1,0.505003108,9
1,1,1,1,0.629,1,1,0.640161306,10
1,1,1,1,0.62,1,1,0.59386617,11
1,1,2,2,0.67,1,1,0.564628229,12
1,1,2,2,0.671,1,3,1.096798705,13
1,1,1,1,0.77,1,3,0.782824304,14
1,1,2,2,1,1,1,0.658203428,15
1,1,2,2,0.767,1,3,0.611430883,16
1,1,2,2,0.824,1,1,0.670663775,17
1,1,1,2,0.972,0,1,0.669293642,16
1,1,1,2,0.927,0,1,1.068300695,15
1,1,1,1,1,1,2,0.749301649,16
1,1,1,2,0.778,0,2,0.928863867,17
1,1,1,2,0.647,0,2,1.030277867,16
1,1,1,1,0.817,1,3,1.007426855,17
1,1,1,2,0.601,0,1,1.049162278,18
1,1,1,1,0.593,1,2,0.979628245,19
1,1,1,2,0.908,0,2,0.734431792,18
1,1,2,2,0.817,1,3,1.051827447,19
1,1,1,2,0.714,0,1,1.397389555,18
1,1,2,2,0.766,1,2,0.878845501,19
1,1,2,2,0.634,1,1,0.829742717,20
1,1,1,1,0.803,1,2,0.718789826,21
1,1,1,2,0.501,0,3,2.382368711,20
1,1,1,1,0.654,1,1,0.902624988,21
1,1,2,2,0.901,1,3,0.790493847,22
1,2,1,1,0.605,1,2,0.832752379,1
1,2,1,2,0.703,0,1,0.617575276,0
1,2,2,2,0.501,1,3,1.477391479,1
1,2,2,2,0.501,1,3,0.427691261,2
1,2,2,2,0.501,1,1,0.661796679,3
1,2,2,2,0.501,1,2,0.222354743,4
1,2,1,2,0.501,0,3,0.665028043,3
1,2,2,2,0.501,1,2,0.647674755,4
1,2,2,2,0.501,1,2,4.945718068,5
1,2,1,2,0.501,0,1,1.914226814,6
1,2,1,2,0.501,0,3,0.453500712,7
1,2,2,2,0.501,1,1,1.776829806,8
1,2,1,2,0.501,0,2,0.89775809,9
1,2,1,2,0.501,0,2,1.04103187,8
1,2,2,2,0.501,1,3,0.497670789,9
1,2,1,2,0.501,0,3,1.369497693,8
1,2,2,2,0.501,1,3,0.300024193,9
1,2,2,2,0.501,1,2,0.250348117,10
1,2,2,2,0.501,1,1,0.292496586,11
1,2,1,2,0.501,0,3,0.46007586,10
1,2,1,2,0.501,0,1,0.749459308,9
1,2,1,2,0.501,0,2,0.3449247,8
1,2,1,2,0.501,0,3,0.133969759,7
1,2,1,2,0.501,0,1,1.614463898,6
1,2,1,2,0.501,0,1,1.005777287,5
1,2,1,2,0.501,0,3,0.768679043,6
1,2,1,2,0.501,0,3,0.732947946,5
1,2,1,2,0.501,0,3,0.13051388,6
1,2,1,2,0.501,0,2,2.735022231,5
1,2,2,2,0.501,1,1,2.802820912,6
1,2,1,2,0.501,0,1,1.276811825,5
1,2,1,2,0.501,0,3,0.732744322,6
1,2,2,2,0.501,1,3,0.59178353,7
1,2,1,2,0.501,0,1,0.316157885,6
1,2,2,2,0.501,1,2,0.330288534,7
1,2,1,2,0.501,0,1,0.666000259,8
1,2,1,2,0.501,0,2,0.303541214,9
1,2,1,2,0.501,0,1,0.223338861,10
1,2,2,2,0.501,1,2,0.202875426,11
1,2,1,2,0.501,0,3,0.412466766,12
1,3,1,2,0.501,0,2,0.43309587,1
1,3,1,2,0.501,0,2,0.248034601,2
1,3,1,2,0.501,0,2,4.217600247,1
1,3,2,2,0.501,1,2,0.655314478,2
1,3,2,2,0.501,1,3,0.823023729,3
1,3,1,2,0.501,0,3,0.946180257,2
1,3,2,2,0.501,1,3,5.37395872,3
1,3,2,2,0.501,1,2,2.796335352,4
1,3,1,2,0.501,0,3,1.101961612,5
1,3,1,2,0.501,0,1,0.685674875,4
1,3,1,2,0.501,0,3,0.282918952,3
1,3,1,2,0.501,0,3,1.147956783,4
1,3,2,2,0.501,1,1,0.456752275,3
1,3,1,2,0.501,0,2,6.760850186,4
1,3,2,2,0.501,1,3,1.558483678,5
1,3,1,2,0.501,0,3,2.338484737,6
1,3,1,2,0.501,0,2,0.627919398,5
1,3,2,2,0.501,1,1,4.430758861,4
1,3,1,2,0.501,0,3,1.396010104,3
1,3,1,2,0.501,0,3,3.006954774,2
1,3,1,2,0.501,0,1,1.812926031,1
1,3,2,2,0.501,1,1,0.936779283,2
1,3,2,2,0.501,1,1,2.599151825,1
1,3,1,2,0.501,0,1,3.179069693,2
1,3,1,2,0.501,0,2,0.67620221,1
1,3,1,2,0.501,0,2,0.678451899,0
1,3,1,2,0.501,0,2,0.818878367,1
1,3,1,2,0.501,0,1,0.981518306,2
1,3,1,2,0.501,0,3,0.633927848,1
1,3,1,2,0.501,0,1,1.01764581,0
1,3,2,2,0.501,1,3,2.11573722,1
1,3,1,2,0.501,0,2,1.207736643,2
1,3,2,2,0.501,1,1,3.49871861,3
1,3,2,2,0.501,1,2,0.702139456,4
1,3,2,2,0.501,1,1,0.516220772,5
1,3,2,2,0.501,1,3,1.177333367,6
1,3,1,2,0.501,0,2,0.494731948,7
1,3,1,2,0.501,0,1,0.830366789,6
1,3,1,2,0.501,0,3,0.759009579,5
1,3,2,2,0.501,1,1,1.427419207,6
10,1,1,1,0.984,1,1,2.914782416,1
10,1,2,2,1,1,1,2.120222998,2
10,1,2,2,0.991,1,3,1.957649431,3
10,1,1,1,0.999,1,2,1.336631636,4
10,1,1,1,0.98,1,1,2.165431069,5
10,1,1,1,1,1,2,1.60030542,6
10,1,2,2,1,1,1,1.529981288,7
10,1,1,1,1,1,1,1.239073623,8
10,1,2,2,1,1,2,1.295413032,9
10,1,2,2,1,1,3,1.54171583,10
10,1,1,1,0.989,1,3,1.706608101,11
10,1,1,1,1,1,2,1.311740671,12
10,1,2,2,1,1,2,1.676817604,13
10,1,1,1,0.993,1,3,1.4263568,14
10,1,2,2,0.982,1,3,1.162759067,15
10,2,1,1,0.569,1,1,1.68675164,1
10,2,1,1,0.904,1,3,1.45462932,2
10,2,1,1,0.627,1,2,1.494165564,3
10,2,1,2,1,0,1,1.284064903,2
10,2,1,1,1,1,1,1.24227727,3
10,2,1,1,0.533,1,1,1.427093399,4
10,2,2,1,0.648,0,1,1.621612778,3
10,2,2,2,0.82,1,2,1.510054937,4
10,2,1,1,0.998,1,3,1.499730646,5
10,2,1,1,1,1,2,1.392329923,6
10,2,2,2,1,1,2,1.394553034,7
10,2,1,1,0.591,1,1,1.637447602,8
10,2,1,1,0.87,1,3,1.085235896,9
10,2,2,2,1,1,3,1.035907268,10
10,2,1,1,0.851,1,3,1.845852639,11
10,2,2,2,0.589,1,3,2.166013864,12
10,2,2,2,0.773,1,3,1.311433972,13
10,2,2,1,0.52,0,3,1.846657438,12
10,2,2,2,0.514,1,1,1.805212674,13
10,2,2,2,0.655,1,1,1.181835526,14
10,2,1,2,0.548,0,1,1.856547109,15
10,2,2,2,0.828,1,1,1.44889792,16
10,2,2,2,0.7,1,2,1.113308821,17
10,2,1,1,0.56,1,3,1.389073931,18
10,2,1,1,0.542,1,1,1.01527016,19
10,2,1,2,0.589,0,1,1.19469657,18
10,2,2,1,0.525,0,1,1.036129127,17
10,2,1,1,0.693,1,3,1.021914212,18
10,2,2,2,0.857,1,2,1.158386152,19
10,2,2,2,0.738,1,2,1.091032299,20
10,2,1,1,0.759,1,3,1.384930787,21
10,2,2,2,0.56,1,1,1.955711672,22
10,2,2,2,0.522,1,3,1.304306279,23
10,2,2,2,0.551,1,3,1.091646656,22
10,2,2,1,0.558,0,1,0.979916762,21
10,2,1,1,0.86,1,3,2.296043259,22
10,2,1,1,1,1,3,1.171962085,23
10,2,2,2,0.766,1,3,1.350433211,24
10,2,1,1,1,1,3,0.859496232,25
10,2,1,1,0.571,1,2,1.667180985,26
10,3,1,1,1,1,2,1.450159761,1
10,3,2,1,0.522,0,2,1.282991205,2
10,3,2,2,1,1,2,0.809943092,3
10,3,2,2,0.748,1,3,2.196374455,4
10,3,1,1,0.795,1,2,1.646443949,5
10,3,2,2,1,1,1,1.07022618,6
10,3,2,2,1,1,2,0.836085207,7
10,3,2,2,0.676,1,2,1.126307956,8
